Dátum,Hazai,Vendég,Iroda,Hazai Odds,Döntetlen Odds,Vendég Odds
2026-03-20,Bournemouth,Manchester United,Pinnacle,3.22,3.83,2.16
2026-03-21,Brighton and Hove Albion,Liverpool,Pinnacle,3.2,3.67,2.23
2026-03-21,Fulham,Burnley,Pinnacle,1.61,3.99,5.98
2026-03-21,Everton,Chelsea,Pinnacle,3.53,3.58,2.12
2026-03-21,Leeds United,Brentford,Pinnacle,2.51,3.49,2.88
2026-03-22,Newcastle United,Sunderland,Pinnacle,1.66,4.04,5.35
2026-03-22,Aston Villa,West Ham United,Pinnacle,1.97,3.52,4.09
2026-03-22,Tottenham Hotspur,Nottingham Forest,Pinnacle,2.51,3.42,2.92
2026-04-10,West Ham United,Wolverhampton Wanderers,1xBet,1.82,4.06,4.57
2026-04-11,Arsenal,Bournemouth,Winamax (FR),1.25,4.4,6.0
2026-04-11,Nottingham Forest,Aston Villa,1xBet,2.61,3.47,2.9
2026-04-11,Brentford,Everton,Winamax (FR),1.94,2.95,3.0
2026-04-11,Burnley,Brighton and Hove Albion,Winamax (FR),3.5,3.35,1.66
2026-04-11,Crystal Palace,Newcastle United,Winamax (FR),2.45,3.1,2.2
2026-04-11,Liverpool,Fulham,Winamax (FR),1.41,4.0,4.4
2026-04-12,Sunderland,Tottenham Hotspur,Winamax (FR),2.4,3.05,2.25
2026-04-12,Chelsea,Manchester City,Winamax (FR),2.4,3.35,2.1
2026-04-13,Manchester United,Leeds United,Parions Sport (FR),1.51,3.8,4.7
